Main food description,GCAM,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Fish, whiting, steamed",OtherMeat_Fish,114,23.13,0,0,0,1.66,0.312,0.352,0.533,85,32,32,0,0,0,0,0,0.06,0.055,1.642,0.177,0,15,15,15,82.1,2.62,0,0,1.8,0.38,0,0.1,61,280,27,0.43,1.11,0.039,40.6,315,189,0,0,0,0,0,0,0,0,0.057,0.2,0.04,0.104,0.205,0.038,0.005,0.025,0.043,0.052,0.099,0.117,0.023,0.165,74.82
"Fish, tilapia, baked or broiled",OtherMeat_Fish,160,24.95,0.01,0.01,0,6.65,1.921,2.174,1.8,66,19,20,0,9,0,0,0,0.043,0.075,4.847,0.21,0,27,27,27,53.2,1.77,0,0,3.9,1.1,0,5.7,13,212,34,0.7,0.41,0.093,51.9,376,280,0,0,0,0.032,0.022,0.013,0.03,0.036,0.18,1.183,0.376,0.148,1.966,0.046,0,1.392,0.194,0.004,0.03,0.007,0.054,0.107,67.67
"Fish, tilapia, grilled",OtherMeat_Fish,142,25.46,0,0,0,4.42,1.339,1.409,1.135,65,10,10,0,4,0,0,0,0.044,0.076,4.948,0.199,0,27,27,27,54.1,1.8,0,0,4,0.81,0,3.8,13,216,34,0.71,0.42,0.095,53,383,274,0,0,0,0.016,0.011,0.007,0.015,0.018,0.124,0.865,0.257,0.138,1.228,0.036,0,0.798,0.118,0.004,0.03,0.007,0.055,0.109,69.4
"Fish, tilapia, steamed",OtherMeat_Fish,121,25.37,0,0,0,2.15,0.739,0.629,0.459,63,0,0,0,0,0,0,0,0.044,0.076,4.931,0.184,0,27,27,27,53.7,1.8,0,0,3.9,0.5,0,1.8,13,215,34,0.71,0.42,0.095,52.8,382,163,0,0,0,0,0,0,0,0,0.067,0.536,0.135,0.125,0.479,0.025,0,0.2,0.042,0.004,0.029,0.006,0.054,0.109,72.06
"Fish, white, mixed species, baked or broiled",OtherMeat_Fish,143,21.96,0.01,0.01,0,5.85,1.61,1.911,1.676,64,21,21,0,9,0,0,0,0.039,0.064,3.103,0.185,0,17,17,17,67.2,1.99,0,0,2.3,1.19,0,4.8,12,281,29,0.45,0.4,0.058,40.2,334,316,0,0,0,0.032,0.022,0.013,0.03,0.036,0.148,0.955,0.323,0.089,1.757,0.037,0.001,1.304,0.174,0.002,0.021,0.025,0.03,0.113,71.32
"Fish, white, mixed species, steamed",OtherMeat_Fish,104,22.33,0,0,0,1.33,0.423,0.361,0.333,61,1,1,0,0,0,0,0,0.04,0.065,3.157,0.159,0,18,18,18,67.9,2.02,0,0,2.3,0.59,0,0.9,11,285,30,0.46,0.4,0.059,40.9,339,199,0,0,0,0,0,0,0,0.001,0.035,0.304,0.081,0.065,0.266,0.016,0.001,0.111,0.021,0.002,0.02,0.025,0.03,0.115,75.76
"Fish, white, mixed species, grilled",OtherMeat_Fish,125,22.41,0,0,0,3.6,1.022,1.14,1.008,63,11,11,0,4,0,0,0,0.04,0.065,3.168,0.174,0,18,18,18,68.3,2.03,0,0,2.3,0.9,0,2.9,12,286,30,0.46,0.41,0.06,41,341,310,0,0,0,0.016,0.011,0.007,0.015,0.018,0.092,0.633,0.203,0.078,1.015,0.027,0.001,0.709,0.098,0.002,0.02,0.025,0.03,0.115,73.12
Frog legs,OtherMeat_Fish,220,14.38,11.72,0.2,0.5,12.4,1.755,4.848,4.918,44,14,14,0,0,0,0,10,0.236,0.254,1.894,0.095,20,13,46,33,56.3,0.28,0,0,0.2,2.68,0,13.1,28,135,20,2.04,0.91,0.218,13.8,241,387,0,0,0,0,0,0,0,0,0.007,1.269,0.384,0.051,4.707,0.081,0,4.288,0.564,0,0.024,0.011,0.005,0.015,59.4
Octopus,OtherMeat_Fish,226,13.25,13.39,0.2,0.5,12.96,1.87,4.93,5.022,43,35,35,0,0,0,0,10,0.165,0.102,2.544,0.259,20,14,47,33,56.3,12.95,0,3,0,2.83,0,13.1,55,164,28,4.92,1.43,0.358,37.2,290,518,0,0,0,0,0,0,0,0,0.026,1.34,0.406,0.094,4.721,0.099,0.008,4.28,0.556,0.021,0.03,0.058,0.005,0.062,58.15
Caviar,OtherMeat_Fish,264,24.6,4,0,0,17.9,4.06,4.631,7.405,588,271,271,0,0,0,0,648,0.19,0.62,0.12,0.32,0,50,50,50,490.9,20,0,0,2.9,1.89,0,0.6,275,356,300,11.88,0.95,0.11,65.5,181,1500,0,0,0,0,0,0,0,0,0.212,3.555,0.293,1.043,3.165,0.309,0.114,0.081,0.017,0.033,0.505,2.741,0.229,3.8,47.5
"Calamari, cooked",OtherMeat_Fish,155,19.36,3.83,0.01,0,6.25,1.639,1.689,1.999,293,31,32,0,9,0,0,0,0.021,0.486,2.566,0.092,0,5,5,5,81.1,1.37,0,4.7,0,2.1,0,4,40,275,41,0.85,1.9,2.348,55.6,306,270,0,0,0,0.032,0.022,0.013,0.03,0.036,0.158,0.983,0.316,0.035,1.552,0.076,0.009,1.198,0.158,0.008,0.013,0.182,0.006,0.425,68.25
Turtle,OtherMeat_Fish,157,24.59,0,0,0,5.8,0.865,2.195,2.294,62,35,35,0,0,0,0,0,0.127,0.177,1.298,0.134,0,14,14,14,80.7,1.06,0,0,0,1.46,0,5.8,147,224,25,1.75,1.24,0.31,20.9,286,285,0,0,0,0,0,0,0,0,0.005,0.623,0.194,0.037,2.12,0.036,0,1.879,0.264,0,0.065,0.029,0.015,0.041,67.61
"Shellfish, NFS",OtherMeat_Fish,146,15.46,4.9,0.07,0.2,6.67,1.248,2.318,2.384,140,63,63,0,3,0,0,3,0.067,0.04,2.181,0.172,7,17,28,24,90.5,1.03,0,0,0.1,2.28,0,6,64,273,26,0.53,1.11,0.207,33.3,131,348,0,0,0,0.011,0.007,0.004,0.01,0.017,0.052,0.782,0.289,0.045,2.178,0.037,0,1.926,0.243,0,0.038,0.074,0.007,0.076,70.78
Abalone,OtherMeat_Fish,177,21.24,7.46,0,0,6.12,0.892,2.219,2.212,106,2,2,0,0,0,0,0,0.201,0.118,1.77,0.168,0,5,5,5,80.7,0.77,0,2,0,5.8,0,34.2,39,236,60,3.97,1.02,0.243,55.6,310,574,0,0,0,0,0,0,0,0,0.031,0.639,0.177,0.043,2.137,0.036,0,1.846,0.243,0.007,0,0.061,0.051,0,62.72
"Clams, raw",OtherMeat_Fish,86,14.67,3.57,0,0,0.96,0.187,0.12,0.192,30,90,90,0,0,0,0,0,0.015,0.04,0.35,0.01,0,5,5,5,65,11.28,0,0,0,0.68,0,0.2,39,198,19,1.62,0.51,0.053,30.6,46,56,0,0,0,0,0,0,0,0.004,0.008,0.11,0.05,0.02,0.06,0.007,0,0.042,0.015,0.001,0.011,0.043,0.007,0.064,78.98
"Clams, baked or broiled",OtherMeat_Fish,148,18.23,4.44,0.01,0,5.73,1.427,1.705,1.587,41,126,126,0,9,0,0,0,0.016,0.047,0.413,0.04,0,5,5,5,81.1,11.91,0,0,0,1.45,0,4.2,49,246,24,2.02,0.64,0.066,38,58,285,0,0,0,0.032,0.022,0.013,0.03,0.041,0.124,0.793,0.306,0.05,1.57,0.03,0,1.248,0.171,0.001,0.015,0.054,0.009,0.079,68.79
"Clams, steamed or boiled",OtherMeat_Fish,109,18.57,4.52,0,0,1.22,0.237,0.152,0.243,38,108,108,0,0,0,0,0,0.016,0.048,0.421,0.011,0,5,5,5,82.3,12.14,0,0,0,0.86,0,0.3,49,251,24,2.05,0.65,0.067,38.7,58,71,0,0,0,0,0,0,0,0.005,0.01,0.139,0.063,0.025,0.076,0.009,0,0.053,0.019,0.001,0.014,0.054,0.009,0.081,73.39
Crab,OtherMeat_Fish,83,17.88,0,0,0,0.74,0.201,0.129,0.258,97,1,1,0,0,0,0,0,0.023,0.093,2.747,0.156,0,51,51,51,80.9,3.33,0,3.3,0,1.84,0,0.3,91,234,36,0.5,3.81,0.814,42.9,259,395,0,0,0,0,0,0,0,0.002,0.008,0.098,0.072,0.027,0.092,0.006,0,0.02,0.009,0.002,0.037,0.101,0.009,0.067,79.69
"Crab, soft shell",OtherMeat_Fish,227,15.51,11.72,0.2,0.5,12.73,1.85,4.905,5.036,80,3,3,0,0,0,0,10,0.16,0.14,3.011,0.119,20,34,67,53,68.3,2.18,0,2,0,3.32,0,13.2,84,201,32,1.27,3.05,0.646,35.7,221,643,0,0,0,0,0,0,0,0.002,0.013,1.302,0.423,0.065,4.744,0.085,0,4.288,0.563,0.002,0.028,0.077,0.007,0.051,57.72
"Crayfish, cooked",OtherMeat_Fish,97,20.22,0,0,0,1.2,0.201,0.22,0.371,144,19,19,0,0,0,0,0,0.075,0.038,2.655,0.123,0,35,35,35,102.4,2.15,0,1.2,0,3.61,0,0.1,34,324,34,1.06,1.65,0.53,40,382,73,0,0,0,0,0,0,0,0,0.003,0.129,0.053,0.035,0.143,0.013,0.023,0.066,0.041,0.006,0.057,0.132,0.013,0.048,77.52
Lobster,OtherMeat_Fish,97,20.91,0,0,0,0.95,0.229,0.278,0.375,161,1,1,0,0,0,0,0,0.022,0.017,1.913,0.118,0,9,9,9,89,1.34,0,0,0,1.1,0,0,106,204,48,0.33,4.47,1.708,80.5,253,535,0,0,0,0,0,0,0,0.003,0.013,0.139,0.057,0.038,0.199,0.034,0.003,0.042,0.054,0.003,0.033,0.129,0.008,0.086,75.89
Mussels,OtherMeat_Fish,109,15.06,4.67,0,0,2.84,0.538,0.642,0.767,35,58,58,0,0,0,0,0,0.172,0.253,1.924,0.057,0,40,40,40,82.3,12.91,0,8.1,0,0.7,0,0.1,33,249,43,5,2.02,0.119,56.7,405,362,0,0,0,0,0,0,0,0,0.075,0.372,0.086,0.175,0.259,0.175,0.033,0.023,0.025,0.044,0.089,0.238,0.028,0.32,75.42
"Oysters, raw",OtherMeat_Fish,51,5.71,2.72,0.62,0,1.71,0.474,0.253,0.528,40,13,13,0,0,0,0,0,0.018,0.09,0.925,0.031,0,7,7,7,65,8.75,0,0,0,0.85,0,1,59,97,18,4.61,39.3,2.858,19.7,156,85,0,0,0,0,0,0,0,0.001,0.05,0.319,0.066,0.052,0.168,0.028,0.001,0.041,0.084,0.048,0.022,0.177,0.01,0.136,89.04
"Oysters, baked or broiled",OtherMeat_Fish,104,7.11,3.39,0.78,0,6.66,1.783,1.87,2.004,53,35,36,0,9,0,0,0,0.019,0.106,1.091,0.064,0,7,7,7,81.1,9.24,0,0,0,1.66,0,5.2,74,121,22,5.73,48.8,3.549,24.5,194,321,0,0,0,0.032,0.022,0.013,0.03,0.037,0.176,1.052,0.325,0.09,1.704,0.056,0.001,1.246,0.257,0.06,0.029,0.22,0.013,0.169,81.28
"Oysters, steamed",OtherMeat_Fish,65,7.23,3.44,0.78,0,2.16,0.6,0.32,0.668,51,16,16,0,0,0,0,0,0.019,0.108,1.112,0.035,0,7,7,7,82.3,9.41,0,0,0,1.08,0,1.3,75,123,23,5.84,49.75,3.618,24.9,197,108,0,0,0,0,0,0,0,0.001,0.063,0.404,0.084,0.066,0.213,0.035,0.001,0.052,0.106,0.061,0.028,0.224,0.013,0.172,86.13
"Oysters, canned",OtherMeat_Fish,74,7.67,4.25,0,0,2.68,0.686,0.272,0.803,60,98,98,0,0,0,0,0,0.163,0.18,1.352,0.103,0,10,10,10,88,20.79,0,5.4,0,0.92,0,0.1,49,151,59,7.28,98.86,4.849,38.9,249,122,0,0,0,0,0,0,0,0,0.118,0.473,0.065,0.08,0.105,0.065,0.01,0.053,0.04,0.104,0.074,0.229,0.054,0.248,83.85
"Scallops, grilled",OtherMeat_Fish,108,15.3,4.04,0,0,2.89,0.759,0.839,0.839,32,11,11,0,4,0,0,0,0.008,0.018,0.847,0.098,0,15,15,15,82.6,1.52,0,0,0,0.3,0,2,8,424,28,0.48,1.15,0.029,16.2,260,412,0,0,0,0.016,0.011,0.007,0.015,0.019,0.067,0.431,0.159,0.024,0.787,0.017,0.001,0.608,0.08,0.005,0.007,0.053,0.004,0.077,75.04
"Scallops, steamed or boiled",OtherMeat_Fish,87,15.24,4.02,0,0,0.62,0.162,0.061,0.164,30,1,1,0,0,0,0,0,0.008,0.018,0.844,0.083,0,15,15,15,82.1,1.51,0,0,0,0,0,0,8,422,28,0.48,1.15,0.029,16.2,259,301,0,0,0,0,0,0,0,0.001,0.01,0.102,0.037,0.011,0.039,0.006,0.001,0.01,0.004,0.005,0.006,0.053,0.004,0.077,77.68
"Shrimp, baked or broiled",OtherMeat_Fish,129,16.92,1.14,0.01,0,5.79,1.518,1.781,1.715,160,83,84,0,9,0,0,0,0.021,0.018,2.098,0.209,0,18,18,18,100.9,1.17,0,0,0.2,2.24,0,4.3,68,303,27,0.27,1.21,0.226,36.8,141,363,0,0,0,0.032,0.022,0.013,0.03,0.042,0.127,0.832,0.34,0.05,1.634,0.025,0,1.313,0.16,0,0.044,0.085,0.008,0.087,73.79
"Shrimp, grilled",OtherMeat_Fish,110,17.26,1.16,0,0,3.55,0.928,1.007,1.048,162,75,75,0,4,0,0,0,0.022,0.018,2.141,0.198,0,18,18,18,102.8,1.2,0,0,0.1,1.98,0,2.4,69,310,28,0.27,1.23,0.231,37.5,144,359,0,0,0,0.016,0.011,0.007,0.015,0.024,0.071,0.508,0.221,0.038,0.89,0.015,0,0.718,0.084,0,0.044,0.086,0.008,0.089,75.65
"Shrimp, steamed or boiled",OtherMeat_Fish,90,17.19,1.15,0,0,1.28,0.33,0.229,0.373,159,65,65,0,0,0,0,0,0.021,0.018,2.134,0.183,0,18,18,18,102.2,1.19,0,0,0.1,1.67,0,0.4,68,308,28,0.26,1.23,0.23,37.4,143,248,0,0,0,0,0,0,0,0.006,0.014,0.179,0.099,0.025,0.141,0.004,0,0.12,0.008,0,0.043,0.086,0.008,0.088,78.28
"Shrimp, baked or broiled, coated",OtherMeat_Fish,154,15.55,8.74,0.14,0.3,5.91,1.534,1.807,1.746,140,75,76,0,9,0,0,7,0.114,0.064,2.452,0.189,13,18,40,31,89.7,1,0,0,0.2,2.01,0,4.4,67,271,26,0.81,1.12,0.209,33.1,135,388,0,0,0,0.032,0.022,0.013,0.03,0.041,0.126,0.852,0.343,0.048,1.671,0.025,0,1.375,0.164,0,0.037,0.072,0.007,0.073,67.5
Escargot,OtherMeat_Fish,158,19.99,2.48,0,0,6.91,1.155,2.408,2.396,62,35,35,0,0,0,0,0,0.011,0.142,1.652,0.145,0,6,6,6,80.7,0.53,0,0,0,7.05,0,5.8,13,338,310,4.36,1.24,0.497,34,474,287,0,0,0,0,0,0,0,0,0.072,0.821,0.214,0.078,2.291,0.036,0,1.859,0.243,0.019,0,0.148,0.123,0,68.48
Animal fat or drippings,OtherMeat_Fish,841,2.23,0,0,0,92.18,35.58,41.249,10.052,93,0,0,0,0,0,0,0,0.006,0.01,0.32,0.029,0,0,0,0,53.2,0.19,0,0,2.2,0.64,0,0.6,5,13,1,0.23,0.34,0.008,1.8,21,604,0,0,0,0,0,0,0.126,0.197,1.467,21.964,11.511,2.994,37.264,0.797,0,9.018,1,0,0.012,0,0.003,0,3.91
Lard,OtherMeat_Fish,902,0,0,0,0,100,39.2,45.1,11.2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,0,0,0,2.5,0.6,0,0,0,0,0,0,0.11,0,0.2,0,0,0,0,0,0,0,0,0.1,0.2,1.3,23.8,13.5,2.7,41.2,1,0,10.2,1,0,0,0,0,0,0
"Pork, ground",Pork,299,26.92,0,0,0,21.22,7.394,9.952,3.037,96,0,0,0,0,0,0,0,0.349,0.458,8.505,0.531,0,4,4,4,84.9,0.96,0,0,0.5,0.44,0,0,20,219,22,1.15,2.52,0.038,43.2,342,395,0,0,0,0,0,0,0.016,0.015,0.27,4.609,2.318,0.515,9.353,0.191,0,2.585,0.143,0,0.11,0.005,0.019,0.006,51.56
"Pork, chop, lean and fat eaten",Pork,195,26.97,0.01,0,0,9.17,3.176,3.855,1.118,72,1,1,0,0,0,0,0,0.632,0.202,8.296,0.618,0,0,0,0,75.7,0.63,0,0,0.6,0.2,0,0,8,252,26,0.61,1.96,0.075,46.1,422,351,0,0,0,0,0,0,0.006,0.005,0.115,1.969,1.039,0.217,3.564,0.061,0,0.962,0.041,0,0.067,0,0.001,0,61.89
"Pork, steak, lean and fat eaten",Pork,264,25.15,0.01,0,0,17.36,6.456,7.828,2.04,97,1,1,0,0,0,0,0,0.47,0.36,3.771,0.45,0,0,0,0,102.9,0.94,0,0,1.2,0.12,0,0,26,212,22,1.73,4.7,0.147,42.1,323,316,0,0,0,0,0,0,0.017,0.014,0.219,3.913,2.204,0.399,7.295,0.124,0,1.784,0.078,0,0.096,0,0,0,54.98
"Pork, steak, lean only eaten",Pork,230,26.71,0,0,0,12.8,4.873,6.014,1.36,99,0,0,0,0,0,0,0,0.492,0.384,3.804,0.473,0,0,0,0,109.3,0.91,0,0,1.1,0.11,0,0,25,221,23,1.83,5.07,0.157,44.8,337,318,0,0,0,0,0,0,0.014,0.011,0.163,2.96,1.665,0.323,5.598,0.094,0,1.168,0.047,0,0.091,0,0,0,58.01
"Pork, tenderloin",Pork,134,24.65,0.09,0,0,3.38,1.155,1.286,0.488,68,0,0,0,0,0,0,0,0.896,0.377,7.376,0.696,0,0,0,0,83.8,0.54,0,0,0.2,0.08,0,0,6,280,28,1.09,2.28,0.109,40.2,462,339,0,0,0,0,0,0,0,0,0.038,0.709,0.396,0.077,1.189,0.019,0,0.408,0.013,0,0.055,0,0,0,70.12
"Pork, roast",Pork,181,26.63,0,0,0,7.49,2.364,2.967,0.809,79,0,0,0,0,0,0,0,0.55,0.233,7.133,0.697,0,0,0,0,75.8,0.56,0,0,0.4,0.1,0,0,7,223,25,0.64,2.12,0.077,35.1,350,353,0,0,0,0,0,0,0.003,0.001,0.084,1.47,0.775,0.167,2.749,0.046,0,0.699,0.028,0,0.054,0,0,0,64.17
"Pork bacon, smoked or cured, cooked",Pork,468,33.92,1.7,0,0,35.09,11.964,15.53,6.112,99,11,11,0,0,0,0,0,0.56,0.232,10.457,0.535,0,0,0,0,89.5,1.09,0,0,0.4,0.42,0,0,11,388,31,0.95,3.06,0.105,50.7,499,1684,0,0,0,0,0,0,0,0,0.441,7.635,3.679,0.778,14.342,0.294,0.006,5.327,0.229,0,0.168,0.004,0.026,0.008,23.65
"Pork, ribs",Pork,254,16.22,12.13,9.89,0.3,15.12,5.43,6.476,2.481,58,4,7,0,40,1,1354,26,0.326,0.247,5.48,0.309,0,1,1,1,56.7,0.51,0,0.2,0.8,0.41,0,0.5,42,121,16,0.83,2.18,0.096,22.7,236,678,0,0,0,0.001,0,0,0.015,0.012,0.196,3.323,1.794,0.31,6.052,0.106,0.007,2.205,0.108,0,0.059,0,0.011,0.001,54.36
"Pork, cracklings",Pork,569,45.03,0,0,0,41.74,15.116,19.042,6.009,90,16,16,0,0,0,0,0,0.132,0.258,2.02,0.074,0,0,0,0,125,0.61,0,0.4,0.5,0.37,0,0,28,92,10,0.75,0.62,0.093,32.2,126,1289,0,0,0,0,0,0,0.03,0.065,0.541,9.265,5.096,1.096,17.618,0.325,0,5.462,0.313,0,0.074,0,0.012,0.005,9.14
"Pork, ears",Pork,236,26.15,0,0,0,13.78,4.854,5.929,1.507,87,2,2,0,0,0,0,0,0.606,0.288,5.999,0.538,0,2,2,2,79.5,0.69,0,0.1,0.9,0.13,0,0,20,219,24,1.1,3.04,0.089,41.7,338,364,0,0,0,0,0,0,0.01,0.008,0.169,2.985,1.602,0.34,5.463,0.099,0,1.314,0.054,0,0.078,0,0,0,58.07
"Pork, ham hocks",Pork,268,14.64,1.09,1.09,0,22.79,8.113,10.034,3.822,60,16,16,0,0,0,0,0,0.315,0.187,4.969,0.332,0,1,1,1,61.5,0.44,0,0,1,0.14,0,0,13,221,16,0.71,1.49,0.09,27.3,257,1040,0,0,0,0,0,0,0.018,0.017,0.302,5.073,2.568,0.5,9.36,0.168,0,3.417,0.144,0,0.088,0,0.012,0.005,58.39
"Pork, belly",Pork,404,26.58,0,0,0,32.24,11.675,13.977,5.375,104,10,10,0,0,0,0,0,0.54,0.395,8.918,0.485,0,0,0,0,91.9,0.89,0,0,1.6,0.28,0,0,55,198,20,1.08,3.52,0.131,37.4,284,448,0,0,0,0,0,0,0.031,0.027,0.425,7.184,3.821,0.672,13.076,0.226,0,4.799,0.219,0,0.117,0,0.023,0.003,39.51
Ostrich,Poultry,174,25.93,0,0,0,7.01,1.778,2.138,0.733,82,0,0,0,0,0,0,0,0.211,0.266,6.502,0.497,0,14,14,14,65.2,5.69,0,0,0.1,0.24,0,3.5,8,222,23,3.4,4.29,0.135,33.2,320,402,0,0,0,0,0,0,0,0,0.04,1.328,0.385,0.339,1.768,0.024,0,0.626,0.045,0,0.057,0,0,0,66.56
"Chicken breast, rotisserie, skin eaten",Poultry,175,26.37,0.09,0.09,0,7.67,1.958,3.131,0.945,90,11,11,0,0,0,0,0,0.078,0.139,9.303,0.307,0,8,8,11,57.1,0.3,0,0,0,0.33,0,0,16,244,25,0.51,0.86,0.041,22.3,276,329,0,0,0,0,0,0,0,0,0.04,1.571,0.344,0.504,2.599,0.019,0,0.878,0.048,0,0.012,0,0,0,65.19
"Chicken breast, rotisserie, skin not eaten",Poultry,144,28.04,0,0,0,3.57,0.863,1.444,0.49,86,5,5,0,0,0,0,0,0.081,0.131,9.634,0.314,0,8,8,11,59.8,0.27,0,0,0,0.32,0,0,13,246,25,0.46,0.87,0.041,23.1,284,328,0,0,0,0,0,0,0,0,0.018,0.69,0.15,0.238,1.194,0.009,0,0.451,0.027,0,0.008,0,0,0,67.78
"Chicken breast, stewed, skin eaten",Poultry,181,24.7,0,0,0,8.28,2.152,3.06,1.616,92,17,17,0,1,0,0,0,0.069,0.169,8.194,0.658,0,6,6,6,60.7,0.16,0,0,0.1,0.56,0,0.5,7,183,23,0.5,0.84,0.042,24.8,280,316,0,0,0,0,0,0,0.017,0.009,0.058,1.61,0.409,0.418,2.528,0.084,0,1.408,0.059,0,0.064,0.006,0.008,0.009,65.33
"Chicken breast, stewed, skin not eaten",Poultry,149,27.96,0,0,0,3.26,0.7,0.856,0.527,91,8,8,0,0,0,0,0,0.082,0.198,9.543,0.806,0,7,7,7,71.4,0.17,0,0,0,0.7,0,0,6,212,26,0.41,0.84,0.044,28.3,332,333,0,0,0,0,0,0,0.021,0.005,0.014,0.488,0.16,0.103,0.733,0.012,0,0.396,0.016,0,0.06,0.004,0.007,0.005,66.83
"Chicken breast, grilled without sauce, skin eaten",Poultry,206,25.72,0,0,0,10.62,2.514,3.992,2.488,95,17,17,0,1,0,0,0,0.073,0.176,8.532,0.685,0,6,6,6,63.2,0.17,0,0,0.1,0.9,0,2.7,7,191,24,0.53,0.87,0.043,25.8,292,329,0,0,0,0,0,0,0.018,0.01,0.062,1.874,0.484,0.442,3.417,0.101,0,2.176,0.155,0,0.066,0.007,0.008,0.01,61.9
"Chicken breast, grilled without sauce, skin not eaten",Poultry,176,29.62,0,0,0,5.45,1.014,1.714,1.364,96,9,9,0,0,0,0,0,0.086,0.21,10.11,0.855,0,7,7,7,75.7,0.18,0,0,0,1.06,0,2.2,7,224,28,0.44,0.9,0.046,30,352,353,0,0,0,0,0,0,0.023,0.005,0.016,0.715,0.228,0.116,1.561,0.027,0,1.131,0.11,0,0.063,0.004,0.008,0.005,62.85
"Chicken breast, sauteed, skin eaten",Poultry,206,25.72,0,0,0,10.62,2.514,3.992,2.488,95,17,17,0,1,0,0,0,0.073,0.176,8.532,0.685,0,6,6,6,63.2,0.17,0,0,0.1,0.9,0,2.7,7,191,24,0.53,0.87,0.043,25.8,292,329,0,0,0,0,0,0,0.018,0.01,0.062,1.874,0.484,0.442,3.417,0.101,0,2.176,0.155,0,0.066,0.007,0.008,0.01,61.9
"Chicken breast, sauteed, skin not eaten",Poultry,176,29.62,0,0,0,5.45,1.014,1.714,1.364,96,9,9,0,0,0,0,0,0.086,0.21,10.11,0.855,0,7,7,7,75.7,0.18,0,0,0,1.06,0,2.2,7,224,28,0.44,0.9,0.046,30,352,353,0,0,0,0,0,0,0.023,0.005,0.016,0.715,0.228,0.116,1.561,0.027,0,1.131,0.11,0,0.063,0.004,0.008,0.005,62.85
"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",Poultry,214,23.16,0,0,0,12.81,3.541,5.384,2.613,131,14,14,0,0,0,0,15,0.089,0.194,5.601,0.399,0,4,4,4,67.3,0.42,0,0,0.2,0.19,0,3.2,10,206,22,1.08,1.97,0.066,25.8,249,341,0,0,0,0.001,0.001,0.002,0.002,0.007,0.071,2.729,0.684,0.79,4.488,0.064,0.002,2.308,0.112,0.002,0.099,0.005,0.01,0.006,63.35
"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",Poultry,168,24.41,0,0,0,7.13,1.977,2.872,1.489,131,7,7,0,0,0,0,0,0.096,0.218,5.928,0.437,0,5,5,5,70.8,0.4,0,0,0.1,0.18,0,3.7,10,217,23,1.13,2.16,0.069,27.3,262,345,0,0,0,0.001,0.001,0.001,0.001,0.004,0.038,1.485,0.417,0.42,2.398,0.029,0.001,1.26,0.062,0.001,0.091,0.005,0.009,0.006,67.77
"Chicken leg, drumstick and thigh, rotisserie, skin eaten",Poultry,218,23.77,0.12,0.12,0,13.63,3.498,5.768,1.832,136,19,19,0,0,0,0,0,0.058,0.226,5.826,0.193,0,8,8,8,67.1,0.48,0,0,0,0.48,0,0,18,229,22,0.98,2.08,0.079,23.5,265,358,0,0,0,0,0,0,0,0.001,0.071,2.807,0.615,0.95,4.771,0.035,0,1.694,0.094,0,0.034,0,0,0,61.41
"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",Poultry,185,25.54,0,0,0,9.15,2.295,3.967,1.384,139,12,12,0,0,0,0,0,0.059,0.232,5.563,0.179,0,8,8,8,72.8,0.46,0,0,0,0.5,0,0,16,229,22,1,2.34,0.086,24.8,274,362,0,0,0,0,0,0,0,0.001,0.047,1.836,0.401,0.673,3.262,0.025,0,1.268,0.076,0,0.034,0,0,0,64.25
"Chicken leg, drumstick and thigh, stewed, skin eaten",Poultry,211,22.45,0,0,0,13.44,3.698,5.645,2.649,135,14,14,0,0,0,0,17,0.081,0.159,5.058,0.367,0,4,4,4,64.8,0.42,0,0,0.2,0.17,0,0.3,12,182,22,1.09,1.89,0.052,26.3,237,396,0,0,0,0.001,0.002,0.003,0.001,0.007,0.074,2.86,0.711,0.833,4.703,0.065,0.002,2.355,0.114,0.002,0.091,0.007,0.009,0.005,63.19
